National Point Estimate,Sample Size
37.4,5706.8
34.7,1198534912.0
44.2,2773.9
38.3,3617.5
39.3,3494.1
39.0,3203.1
40.9,3592.1
35.5,14967.4
34.9,2138.0
20.7,5108.0
17.5,1958047.8
17.7,2223763.8
21.8,2279856.0
36.1,1971.0
33.0,798.0
46.7,1358.0
31.9,725.0
19.0,2571.1
15.3,2246.3
32.8,1530.2
36.2,4886.5
42.5,10368.5
37.6,12344.8
27.8,22905.3
27.9,929.7
28.1,17723.5
29.0,7656.3
30.4,14810.2
26.4,7959.0
24.6,13851.2
24.2,8971.3
26.9,9671.8
26.4,12937.1
23.0,8843.3
22.1,8009.9
21.8,11190.9
34.8,870.4
40.2,931.0
49.8,3733.0
38.6,3676.9
31.5,7831.2
23.6,558667.5
29.7,8280.5
23.2,6565.4
27.9,9788.9
22.8,13547.9
19.4,16148.5
25.8,11166.4
17.4,15089.6
27.3,2430.0
13.6,1537.0
26.9,8268127.0
26.0,14932.0
25.8,31601.0
21.4,10125945.0
18.9,37292332.0
19.4,23892414.0
15.5,9400075.0
13.6,10747724.0
12.4,7802.5
10.0,10958524.0
14.1,9483218.0
13.9,9913680.0
12.8,9746286.0
33.1,1679.0
30.1,4077.0
29.8,5899.0
23.5,1246.0
27.5,3337.3
15.5,21258650.0
15.3,3684.5
10.8,5724.6
7.3,2238.9
9.4,5914.6
7.9,855.0
9.4,1360.8
7.2,808.7
31.0,4342.0
30.1,4599.0
28.9,3636.0
23.1,5499.6
14.9,6856.1
15.1,6001.2
59.9,4586.0
42.6,2916.2
50.7,1775715.1
46.9,8836.8
43.5,10499.7
42.9,10474.1
42.3,3636837.3
37.5,4611197.0
53.6,5540.0
58.7,5994.0
55.4,4894.0
40.8,8287.1
42.7,5594.5
35.1,15342.0
29.4,4103.4
26.7,8959.0
35.6,2581.7
29.3,4207.9
29.2,5038.6
22.7,2604.6
24.0,267.0
68.2,6781.0
55.6,3733.3
61.1,17141.8
56.1,6466.4
49.1,5286.2
40.1,2495.9
37.1,5127.0
37.2,1686.2
36.1,2490.5
31.5,6453.9
24.8,2630.0
1.3,5503.5
1.5,4652.2
29.6,3569.0
30.5,6658.2
25.1,5632.0
18.8,1494.0
23.1,12277.9
17.3,10248.4
43.8,1672.0
45.3,4134.2
46.5,4097.6
53.5,4730.6
54.8,4248.6
51.0,2362241.5
49.2,2442729.8
43.8,3742.3
45.5,2819784.0
47.8,2720073.0
47.4,2773720.0
50.9,2984905.5
43.5,5646.5
39.9,8596.4
42.5,3193629.0
42.2,4842316.0
46.4,1679027.1
41.3,3215788.0
48.5,3983361.0
47.1,4457141.5
45.3,4577478.0
44.4,22117252.0
47.7,29202640.0
48.7,5701.4
43.8,2664.0
42.5,4985.7
35.8,23973.3
33.6,19847.6
33.0,17646.2
43.6,27291.0
33.1,16203.4
36.8,12588.8
31.5,16191.8
11.3,4175.5
4.9,1318.5
4.3,1263.3
24.2,764.0
21.4,632.0
15.8,13921.4
9.8,8105.0
14.1,4501.0
62.5,6707.0
53.9,4285.9
42.7,3240.0
41.4,9521.0
43.6,23422566.0
45.0,3594.3
37.6,3521.8
16.8,274709.1
23.7,305425.4
19.0,288852.5
15.9,448339.3
46.0,27510.0
43.9,924.0
49.5,908950.9
18.3,3428.0
17.1,482972.0
10.7,557719.0
5.6,4403.3
37.3,7137.0
31.6,13610.1
31.3,10585.9
29.2,1895.8
28.0,7841.2
23.9,9140.7
23.3,8700.7
20.8,2470960.3
19.5,8859.7
19.0,2000794.0
18.4,9185.3
17.6,8273.7
14.8,9133.9
14.7,11106.9
13.1,10533.8
12.8,9283.8
12.2,8856.7
12.2,8301.9
11.4,6227.6
11.5,7709.5
44.7,2250.0
43.3,5629.0
40.9,5858.0
38.9,4229.0
38.3,24308.0
33.8,3499.0
32.0,10327704.0
33.4,59581728.0
30.0,10137680.0
33.1,10250059.0
0.8,3227.0
3.2,317765.8
11.6,1180.0
2.5,2040.0
1.3,1793123.4
1.6,1795760.3
2.3,1708595.6
0.9,1421004.8
10.7,1544.7
6.4,1704.3
11.2,10957.0
15.3,20972.0
12.8,22145.0
14.0,22560.0
12.8,15487.0
56.8,4446.9
45.4,1115.0
47.9,6701.4
51.4,3918.1
46.6,6139.0
44.3,4386.3
43.8,4418.4
38.3,3837.9
36.9,4023.1
34.8,1546624.9
33.1,4157.7
2.5,280.6
6.4,1107.0
4.9,2929.3
7.3,2548.8
32.0,2155.0
17.2,1930.3
11.7,1808.1
21.4,23821.0
9.3,15601.0
13.7,6890.0
17.1,4797.0
17.2,6902.0
11.6,6042.0
13.2,5245.0
10.8,2664.0
28.4,627.0
29.8,3968.0
26.0,1082664.8
19.9,2953.0
26.7,3826.6
15.5,27496.3
18.8,5916.2
16.5,10817.6
18.8,5977.3
14.2,8525.5
20.7,6076.4
17.5,7308.3
17.1,5778.2
16.5,10862.8
18.8,6073.9
18.8,9164.6
17.9,5466.3
8.1,3422.6
6.6,2745.2
6.0,2337.0
5.4,1174.8
7.7,836.0
7.9,5040.0
41.4,4424.0
40.9,4595.0
35.5,1910.5
45.0,4269.7
32.7,13257.1
29.1,10766.0
31.0,11412.4
29.3,11272.9
29.5,4820.4
26.3,9342.7
4.5,15847.0
33.7,3974.0
32.8,2029.0
31.7,3613.2
29.2,3582.0
42.0,5519.8
25.3,1132.8
28.7,9807.0
30.1,1556.0
24.9,3079587.8
21.4,4988707.5
27.4,1404.2
21.4,4701537.5
36.2,1329786.0
31.3,5799.7
31.3,2000.1
28.7,3091729664.0
26.1,2782.0
18.3,2382.6
18.1,6754.4
19.2,2589.0
14.6,7305.0
17.3,7881.3
7.8,3955.5
10.7,552272.7
11.4,3308.9
10.5,5295.6
13.6,9171.9
10.9,8963.0
7.4,6949.8
8.7,5754.5
38.3,4151294.0
34.1,11865.9
38.2,11332.6
14.1,1744.6
10.6,1916.9
8.8,2744.3
8.3,3249.3
32.8,4064.0
26.5,2425.0
24.3,6262.0
31.7,5817.0
28.7,10187.9
27.9,13947.7
41.5,3599.0
42.1,5657.0
43.2,3704.0
37.1,4543.0
42.4,4654.0
33.1,4138.8
39.3,5014918.0
28.8,7413493.5
26.9,5209.5
19.6,8449675.0
17.5,6693.6
25.8,1889.0
21.1,11748.0
18.1,4178.0
15.7,4691744.5
16.4,9010.0
10.5,11007.7
13.4,12301.3
55.7,3971.6
54.8,5255.0
57.2,144402.5
57.5,8461.4
51.7,1427860.3
46.7,11257.9
36.9,1682.0
40.2,3761.0
28.8,3343.8
29.9,3536.6
27.0,2968.3
29.8,4613.0
27.0,819654.1
26.2,2555.1
27.6,3300.4
23.8,4910.8
2.2,1094.0
2.2,1282.8
5.7,846.0
5.3,749.0
9.2,1076.2
20.5,2039.0
11.9,891.0
16.8,10553.0
9.0,2842.0
10.1,2589.3
8.4,3302.2
27.2,2999.2
18.9,2024.7
11.5,3713.5
7.2,3643.7
4.6,271.8
10.0,430.0
5.7,485.4
23.6,3170.2
18.8,2721.1
15.2,3690.6
12.5,2505.4
10.0,2552.2
6.0,1949.9
47.7,3775.2
45.2,4857.6
44.9,6139.3
38.4,2706.9
38.2,3026667.0
38.5,3051174.0
33.5,2375.5
33.7,2921967.5
34.0,3514147.3
30.4,2381909.8
28.9,5117.1
23.9,5484556.5
25.4,4743327.0
22.9,4074.0
49.9,6262.7
49.6,5441.5
48.3,2609.6
44.4,8091.8
43.2,5141366.0
42.1,7554.5
35.0,6414039.5
37.4,6259251.5
34.5,9846.1
38.6,5199976.0
30.0,5450.0
21.0,3471.0
15.3,2620.0
14.7,7091.0
17.2,2766.0
13.9,7012.0
11.8,2987.0
11.7,2941.0
5.0,155978.0
10.8,133312.2
6.9,189459.5
37.2,1075.8
24.9,2459.4
19.6,4820.5
10.8,2049.0
6.5,5518.7
25.7,1297.0
25.7,1297.3
28.9,1269.7
7.0,18023.0
18.6,180709.0
18.2,261095.0
18.3,257491.0
17.4,256344.0
17.9,235552.0
18.9,341155.0
19.3,344701.0
19.9,291749.0
19.2,299531.0
18.3,377496.0
17.4,321257.0
15.6,242775.0
61.3,7044.0
61.5,2674.0
52.5,37764.0
42.1,12919.0
43.8,1553.6
42.1,1565.2
43.2,3009.0
37.5,1505.6
35.4,1450.9
33.7,1403.9
33.3,1353.9
31.7,1526.6
31.7,1472.9
30.8,1374.8
22.7,3572.1
19.5,97920.0
50.4,2321.7
50.4,3833.0
55.2,7751.0
57.3,7343.5
57.0,2601470.5
46.6,3769453.0
46.4,14116.7
46.3,4983.5
48.6,5516.1
59.2,787423.3
52.5,5864.7
45.8,5711.2
40.0,12540.1
34.6,9609.3
31.0,2461.0
28.9,2050.8
33.8,3050.6
35.3,5009.9
35.1,6172.9
32.2,5331.3
27.6,9559.3
27.1,6312.2
23.5,5968.6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
